standard,level,industry,ticker,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4
bics,bics_l1,Consumer Staples,BSQ,65.0,75.0,67.0,71.0,89.0,78.0,69.0,71.0,59.0,87.0,68.0,73.0
bics,bics_l1,Consumer Staples,BTB,7.0,28.0,42.0,18.0,15.0,40.0,,,,,,
bics,bics_l1,Consumer Staples,CAD,0.0,,0.0,0.0,7.0,10.0,,,2.0,20.0,,
bics,bics_l1,Consumer Staples,CAN,67.0,54.0,75.0,52.0,66.0,56.0,46.0,60.0,66.0,73.0,63.0,55.0
bics,bics_l1,Consumer Staples,CFV,,,,,,,,,,,73.0,29.0
bics,bics_l1,Consumer Staples,CLX,79.0,98.0,96.0,94.0,87.0,85.0,84.0,88.0,87.0,91.0,77.0,80.0
bics,bics_l1,Consumer Staples,CMF,75.0,75.0,81.0,80.0,90.0,70.0,80.0,86.0,,,,
bics,bics_l1,Consumer Staples,CMX,40.0,33.0,69.0,37.0,56.0,40.0,33.0,41.0,43.0,55.0,58.0,29.0
bics,bics_l1,Consumer Staples,CPA,,,,,,,,16.0,36.0,43.0,23.0,20.0
bics,bics_l1,Consumer Staples,CTP,71.0,45.0,50.0,93.0,61.0,56.0,53.0,100.0,,,,
bics,bics_l1,Consumer Staples,DAT,51.0,45.0,43.0,42.0,59.0,53.0,39.0,53.0,54.0,56.0,61.0,56.0
bics,bics_l1,Consumer Staples,DBC,50.0,30.0,40.0,23.0,33.0,27.0,17.0,41.0,67.0,70.0,70.0,63.0
bics,bics_l1,Consumer Staples,FCS,61.0,41.0,53.0,57.0,55.0,58.0,40.0,49.0,61.0,59.0,59.0,52.0
bics,bics_l1,Consumer Staples,FGL,68.0,,,,29.0,42.0,,20.0,13.0,31.0,14.0,25.0
bics,bics_l1,Consumer Staples,FMC,85.0,79.0,76.0,73.0,86.0,67.0,83.0,90.0,80.0,69.0,84.0,86.0
bics,bics_l1,Consumer Staples,GTN,79.0,80.0,74.0,71.0,71.0,72.0,57.0,,,,,
bics,bics_l1,Consumer Staples,HAF,76.0,52.0,62.0,,67.0,56.0,43.0,47.0,65.0,54.0,52.0,28.0
bics,bics_l1,Consumer Staples,HBH,41.0,16.0,30.0,59.0,54.0,45.0,44.0,53.0,36.0,50.0,67.0,56.0
bics,bics_l1,Consumer Staples,HHC,90.0,30.0,48.0,62.0,56.0,46.0,32.0,50.0,24.0,47.0,45.0,
bics,bics_l1,Consumer Staples,HKB,58.0,29.0,14.0,70.0,17.0,21.0,8.0,59.0,27.0,40.0,35.0,28.0
bics,bics_l1,Consumer Staples,HKT,75.0,52.0,,99.0,62.0,50.0,46.0,57.0,71.0,65.0,76.0,48.0
bics,bics_l1,Consumer Staples,HLG,62.0,61.0,60.0,53.0,59.0,57.0,43.0,43.0,61.0,61.0,56.0,53.0
bics,bics_l1,Consumer Staples,HNF,57.0,,51.0,25.0,61.0,31.0,34.0,31.0,24.0,34.0,32.0,41.0
bics,bics_l1,Consumer Staples,HNM,15.0,24.0,29.0,58.0,40.0,43.0,32.0,22.0,19.0,41.0,30.0,50.0
bics,bics_l1,Consumer Staples,HVG,5.0,25.0,59.0,26.0,40.0,20.0,5.0,0.0,,,,
bics,bics_l1,Consumer Staples,ICF,55.0,38.0,41.0,37.0,30.0,37.0,26.0,,28.0,41.0,51.0,
bics,bics_l1,Consumer Staples,IDI,61.0,47.0,46.0,55.0,59.0,51.0,32.0,36.0,35.0,46.0,30.0,38.0
bics,bics_l1,Consumer Staples,IFS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,100.0,100.0
bics,bics_l1,Consumer Staples,ILA,,,,,79.0,51.0,64.0,89.0,70.0,88.0,69.0,
bics,bics_l1,Consumer Staples,JOS,63.0,51.0,61.0,52.0,51.0,58.0,38.0,42.0,56.0,67.0,64.0,
bics,bics_l1,Consumer Staples,KDC,70.0,66.0,61.0,60.0,61.0,61.0,42.0,52.0,56.0,59.0,62.0,51.0
bics,bics_l1,Consumer Staples,KHS,64.0,37.0,51.0,39.0,51.0,38.0,33.0,40.0,58.0,55.0,57.0,55.0
bics,bics_l1,Consumer Staples,KTS,59.0,44.0,46.0,63.0,37.0,41.0,14.0,25.0,25.0,51.0,54.0,40.0
bics,bics_l1,Consumer Staples,LAF,70.0,39.0,57.0,77.0,58.0,53.0,43.0,72.0,63.0,58.0,73.0,94.0
bics,bics_l1,Consumer Staples,LIX,100.0,100.0,100.0,87.0,100.0,91.0,89.0,87.0,94.0,85.0,93.0,85.0
bics,bics_l1,Consumer Staples,LSS,50.0,46.0,32.0,44.0,54.0,59.0,31.0,41.0,59.0,60.0,51.0,48.0
bics,bics_l1,Consumer Staples,MCF,65.0,70.0,72.0,81.0,64.0,51.0,49.0,72.0,58.0,85.0,86.0,67.0
bics,bics_l1,Consumer Staples,MCH,88.0,76.0,90.0,79.0,76.0,66.0,59.0,77.0,65.0,66.0,71.0,69.0
bics,bics_l1,Consumer Staples,MLS,21.0,40.0,41.0,34.0,,,,,,,,
bics,bics_l1,Consumer Staples,MML,,,,,,56.0,34.0,48.0,50.0,52.0,44.0,35.0
bics,bics_l1,Consumer Staples,MPC,65.0,51.0,65.0,61.0,63.0,62.0,64.0,67.0,64.0,63.0,70.0,64.0
bics,bics_l1,Consumer Staples,MPT,64.0,59.0,51.0,98.0,73.0,67.0,75.0,64.0,76.0,,67.0,64.0
bics,bics_l1,Consumer Staples,MSN,57.0,61.0,45.0,53.0,54.0,50.0,41.0,43.0,23.0,38.0,27.0,22.0
bics,bics_l1,Consumer Staples,MTA,53.0,31.0,31.0,,29.0,22.0,21.0,28.0,57.0,55.0,55.0,
bics,bics_l1,Consumer Staples,NAF,56.0,51.0,37.0,43.0,38.0,44.0,32.0,36.0,49.0,54.0,47.0,38.0
bics,bics_l1,Consumer Staples,NET,70.0,75.0,57.0,63.0,67.0,67.0,63.0,79.0,92.0,92.0,83.0,80.0
bics,bics_l1,Consumer Staples,NGC,41.0,45.0,38.0,41.0,51.0,42.0,21.0,14.0,31.0,43.0,52.0,29.0
bics,bics_l1,Consumer Staples,NST,32.0,19.0,39.0,66.0,24.0,50.0,46.0,57.0,58.0,33.0,73.0,48.0
bics,bics_l1,Consumer Staples,OGC,11.0,1.0,21.0,9.0,9.0,15.0,25.0,17.0,60.0,28.0,51.0,28.0
bics,bics_l1,Consumer Staples,PAN,73.0,51.0,69.0,74.0,65.0,56.0,41.0,54.0,51.0,53.0,52.0,56.0
bics,bics_l1,Consumer Staples,PCF,73.0,73.0,58.0,64.0,59.0,65.0,,,,,63.0,
bics,bics_l1,Consumer Staples,PRT,,,,,,,,,53.0,60.0,64.0,57.0
bics,bics_l1,Consumer Staples,QNS,69.0,87.0,85.0,88.0,73.0,74.0,65.0,81.0,69.0,79.0,78.0,77.0
bics,bics_l1,Consumer Staples,RAL,69.0,52.0,62.0,71.0,68.0,57.0,48.0,55.0,67.0,67.0,65.0,69.0
bics,bics_l1,Consumer Staples,SAB,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0
bics,bics_l1,Consumer Staples,SBL,69.0,60.0,55.0,57.0,46.0,54.0,43.0,55.0,50.0,52.0,60.0,57.0
bics,bics_l1,Consumer Staples,SBT,23.0,24.0,17.0,16.0,36.0,31.0,24.0,17.0,29.0,48.0,31.0,29.0
bics,bics_l1,Consumer Staples,SCD,,,,,,,,,,,,64.0
bics,bics_l1,Consumer Staples,SEA,74.0,67.0,72.0,,78.0,71.0,,67.0,64.0,78.0,72.0,68.0
